experience_level,job_title,remote_ratio,salary_in_usd,company_size
SE,Data Engineer,0,129000,M
SE,Data Science Manager,0,299500,M
SE,Data Science Manager,0,245100,M
MI,Data Analytics Manager,0,155000,M
MI,Data Analytics Manager,0,140000,M
EX,Data Engineer,0,167500,M
EX,Data Engineer,0,106500,M
SE,Data Architect,100,188500,M
SE,Data Architect,100,117000,M
SE,Data Analyst,100,250000,M
SE,Data Analyst,100,138000,M
MI,Data Analyst,100,130000,M
MI,Data Analyst,100,100000,M
SE,Deep Learning Researcher,0,123405,L
SE,Data Engineer,0,140000,M
SE,Data Engineer,0,120000,M
SE,BI Analyst,0,160000,M
SE,BI Analyst,0,135000,M
MI,Data Science Manager,0,104500,M
MI,Data Science Manager,0,70000,M
MI,Data Science Consultant,0,90000,M
MI,Data Science Consultant,0,70000,M
SE,Data Engineer,100,153600,M
SE,Data Engineer,100,106800,M
EN,Data Engineer,0,125000,M
EN,Data Engineer,0,90000,M
MI,Research Scientist,100,185000,M
MI,Research Scientist,100,125000,M
SE,Data Analyst,100,127000,M
SE,Data Analyst,100,94000,M
SE,Data Scientist,0,210550,M
SE,Data Scientist,0,153300,M
MI,Data Scientist,100,200000,M
MI,Data Scientist,100,150000,M
SE,Data Analyst,100,161500,M
SE,Data Analyst,100,119500,M
SE,Data Analyst,0,175000,M
SE,Data Analyst,0,145000,M
SE,Data Scientist,0,175000,M
SE,Data Scientist,0,148750,M
SE,Data Analytics Specialist,0,105000,M
SE,Data Analytics Specialist,0,85000,M
SE,Research Scientist,0,215000,M
SE,Research Scientist,0,146300,M
EN,AI Developer,100,214618,L
MI,Data Engineer,100,72000,M
MI,Data Engineer,100,60000,M
SE,Machine Learning Engineer,0,153400,M
SE,Machine Learning Engineer,0,122700,M
MI,Data Engineer,0,260000,M
MI,Data Engineer,0,175000,M
SE,Data Scientist,100,186300,M
SE,Data Scientist,100,123900,M
MI,Research Scientist,100,340000,M
MI,Research Scientist,100,150000,M
SE,Machine Learning Engineer,0,153400,M
SE,Machine Learning Engineer,0,122700,M
MI,Data Engineer,0,250000,M
MI,Data Engineer,0,175000,M
MI,Data Scientist,50,64385,M
SE,Data Analyst,0,185900,M
SE,Data Analyst,0,121700,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,106800,M
SE,Software Data Engineer,50,50000,M
EN,Data Analyst,100,100000,L
SE,Machine Learning Engineer,0,247500,M
SE,Machine Learning Engineer,0,172200,M
EX,Data Engineer,100,310000,M
EX,Data Engineer,100,239000,M
SE,Data Analyst,0,125000,M
SE,Data Analyst,0,110000,M
EN,Data Analyst,0,150000,M
EN,Data Analyst,0,100000,M
SE,Data Scientist,0,149076,M
SE,Data Scientist,0,82365,M
MI,Data Engineer,0,146000,M
MI,Data Engineer,0,75000,M
SE,Machine Learning Engineer,0,139500,M
SE,Machine Learning Engineer,0,109400,M
SE,Data Engineer,0,139500,M
SE,Data Engineer,0,109400,M
MI,Data Engineer,0,149600,M
MI,Data Engineer,0,102000,M
MI,Data Analyst,0,97218,M
MI,Data Analyst,0,48609,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Data Analyst,0,95000,M
SE,Data Analyst,0,85500,M
SE,Data Analyst,0,185900,M
SE,Data Analyst,0,121700,M
EN,Research Scientist,0,150000,M
EN,Research Scientist,0,100000,M
MI,Data Engineer,0,145000,M
MI,Data Engineer,0,125000,M
MI,Data Scientist,100,150000,M
MI,Data Scientist,100,97750,M
SE,Data Scientist,0,201000,M
SE,Data Scientist,0,122000,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Data Analyst,100,120000,M
SE,Data Analyst,100,75000,M
MI,Data Scientist,100,116990,M
MI,Data Scientist,100,82920,M
SE,Data Scientist,0,185900,M
SE,Data Scientist,0,129300,M
MI,Machine Learning Scientist,0,200000,S
MI,Machine Learning Scientist,0,125000,S
SE,Data Scientist,0,201000,M
SE,Data Scientist,0,122000,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
SE,Data Manager,0,155000,M
SE,Data Manager,0,140000,M
MI,Machine Learning Infrastructure Engineer,0,205920,M
MI,Machine Learning Infrastructure Engineer,0,171600,M
SE,Data Engineer,100,121500,M
SE,Data Engineer,100,78000,M
MI,Data Engineer,0,154000,M
MI,Data Engineer,0,116000,M
SE,Data Scientist,0,190000,M
SE,Data Scientist,0,136000,M
MI,Data Analyst,100,78990,M
MI,Data Analyst,100,43809,M
SE,Data Analyst,0,180000,M
SE,Data Analyst,0,110000,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183000,M
SE,Data Engineer,0,170000,M
SE,Data Engineer,0,140000,M
SE,Data Engineer,0,154000,M
SE,Data Engineer,0,116000,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
MI,Data Engineer,0,200000,M
MI,Data Engineer,0,120000,M
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,160000,M
MI,Data Engineer,0,127599,M
MI,Data Engineer,0,103294,M
SE,Data Engineer,0,153600,M
SE,Data Engineer,0,106800,M
EN,Data Analyst,100,85000,M
EN,Data Analyst,100,75000,M
SE,Data Scientist,0,225000,M
SE,Data Scientist,0,156400,M
SE,Analytics Engineer,0,150000,M
SE,Analytics Engineer,0,120000,M
SE,Machine Learning Engineer,0,163800,M
SE,Machine Learning Engineer,0,126000,M
SE,Data Analyst,100,145000,M
SE,Data Analyst,100,90000,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
SE,Data Analyst,0,95000,M
SE,Data Analyst,0,85500,M
SE,Data Engineer,0,167500,M
SE,Data Engineer,0,106500,M
SE,Data Engineer,0,163800,M
SE,Data Engineer,0,126000,M
MI,Data Analytics Manager,0,155000,M
MI,Data Analytics Manager,0,140000,M
SE,Research Scientist,0,250000,M
SE,Research Scientist,0,200000,M
SE,Data Scientist,0,260000,M
SE,Data Scientist,0,186000,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
SE,Research Scientist,0,200000,M
SE,Research Scientist,0,150000,M
SE,Data Scientist,0,48289,M
SE,Data Scientist,0,38631,M
SE,Data Scientist,0,150000,M
SE,Data Scientist,0,120000,M
EN,Data Analyst,50,30000,M
MI,Research Scientist,0,185000,M
MI,Research Scientist,0,125000,M
EN,Data Analyst,100,34320,S
MI,Business Data Analyst,100,9289,M
SE,Head of Data,100,75116,L
EX,Data Science Manager,0,106000,L
SE,Data Analyst,100,175000,M
SE,Data Analyst,100,130000,M
SE,Data Analyst,100,122000,M
SE,Data Analyst,100,93800,M
SE,Data Science Manager,100,150000,M
SE,Data Science Manager,100,90000,M
SE,Data Analyst,100,165000,M
SE,Data Analyst,100,112000,M
EN,Computer Vision Engineer,0,220000,M
SE,BI Data Analyst,100,71897,M
EN,AI Developer,0,64385,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
SE,Data Analyst,100,15806,S
MI,Machine Learning Engineer,0,200000,M
MI,Machine Learning Engineer,0,175000,M
SE,Data Engineer,0,185900,M
SE,Data Engineer,0,129300,M
SE,Data Analyst,0,185900,M
SE,Data Analyst,0,121700,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
MI,Data Scientist,50,40000,L
SE,Data Science Consultant,50,29453,M
SE,Data Analyst,0,180180,M
SE,Data Analyst,0,106020,M
SE,Data Scientist,100,136000,M
SE,Data Scientist,100,104000,M
SE,Data Analyst,0,125000,M
SE,Data Analyst,0,110000,M
SE,Machine Learning Engineer,0,153400,M
SE,Machine Learning Engineer,0,122700,M
EX,Data Engineer,100,310000,M
EX,Data Engineer,100,239000,M
SE,Data Analyst,0,152380,M
SE,Data Analyst,0,121904,M
SE,Data Scientist,0,185900,M
SE,Data Scientist,0,129300,M
SE,Machine Learning Engineer,0,247500,M
SE,Machine Learning Engineer,0,172200,M
SE,Data Architect,0,168400,M
SE,Data Architect,0,105200,M
SE,Machine Learning Engineer,0,128280,M
SE,Machine Learning Engineer,0,106900,M
SE,Lead Data Scientist,100,192000,L
MI,Data Engineer,0,140000,M
MI,Data Engineer,0,100000,M
SE,Research Engineer,100,107309,S
SE,Research Engineer,100,85847,S
SE,Machine Learning Engineer,0,275000,M
SE,Machine Learning Engineer,0,174000,M
SE,Data Engineer,0,139500,M
SE,Data Engineer,0,109400,M
SE,Machine Learning Engineer,0,139500,M
SE,Machine Learning Engineer,0,109400,M
SE,Data Analyst,100,170500,M
SE,Data Analyst,100,85000,M
SE,Data Manager,0,72946,M
SE,Data Manager,0,54365,M
EX,Head of Data Science,0,160288,M
EX,Head of Data Science,0,127467,M
SE,Data Engineer,0,80000,M
SE,Data Engineer,0,65000,M
SE,Data Engineer,0,124740,M
SE,Data Engineer,0,65488,M
SE,Data Quality Analyst,0,72200,M
SE,Data Quality Analyst,0,64980,M
SE,Data Engineer,0,153600,M
SE,Data Engineer,0,106800,M
SE,Data Analyst,100,179975,M
SE,Data Analyst,100,86466,M
SE,Data Engineer,0,120000,M
SE,Data Engineer,0,90000,M
MI,Insight Analyst,0,51039,M
MI,Insight Analyst,0,42533,M
SE,Data Scientist,0,149076,M
SE,Data Scientist,0,82365,M
SE,Data Analyst,0,169000,M
SE,Data Analyst,0,110600,M
SE,Data Science Manager,0,175000,M
SE,Data Science Manager,0,120000,M
SE,Data Analyst,0,230000,M
SE,Data Analyst,0,180000,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,106800,M
SE,Data Manager,0,140000,M
SE,Data Manager,0,120000,M
SE,Machine Learning Infrastructure Engineer,0,205920,M
SE,Machine Learning Infrastructure Engineer,0,171600,M
SE,Data Analyst,100,165000,M
SE,Data Analyst,100,125000,M
SE,Data Engineer,0,265000,M
SE,Data Engineer,0,185000,M
MI,Applied Machine Learning Engineer,0,130000,M
EN,Data Scientist,100,168000,M
MI,AI Scientist,50,38631,L
SE,Data Analyst,0,95000,M
SE,Data Analyst,0,85500,M
SE,Data Scientist,0,147100,M
SE,Data Scientist,0,90700,M
SE,Data Engineer,0,167580,M
SE,Data Engineer,0,87980,M
SE,Data Engineer,100,202000,M
SE,Data Engineer,100,135000,M
SE,Data Engineer,0,163800,M
SE,Data Engineer,0,126000,M
SE,Machine Learning Engineer,0,163800,M
SE,Machine Learning Engineer,0,126000,M
SE,Data Engineer,100,104000,M
SE,Data Engineer,100,65000,M
SE,Research Engineer,0,230000,M
SE,Research Engineer,0,148000,M
SE,Machine Learning Engineer,100,269000,M
SE,Machine Learning Engineer,100,158000,M
SE,Analytics Engineer,0,197000,M
SE,Analytics Engineer,0,106000,M
MI,Deep Learning Engineer,100,150000,M
MI,Deep Learning Engineer,100,100000,M
SE,Data Engineer,100,290000,M
SE,Data Engineer,100,210000,M
SE,Data Engineer,0,192000,M
SE,Data Engineer,0,172800,M
SE,Data Scientist,0,300240,M
SE,Data Scientist,0,200160,M
SE,Data Scientist,0,300240,M
SE,Data Scientist,0,200160,M
SE,Analytics Engineer,0,175000,M
SE,Analytics Engineer,0,140000,M
SE,Data Manager,0,169000,M
SE,Data Manager,0,100000,M
SE,Data Scientist,0,370000,M
SE,Data Scientist,0,245000,M
MI,Data Engineer,100,115447,L
SE,Data Analyst,100,110000,S
SE,Data Analyst,100,80000,S
EN,Data Analyst,0,55000,M
EN,Data Analyst,0,48000,M
SE,Data Analyst,0,95000,M
SE,Data Analyst,0,85000,M
SE,Data Engineer,100,137500,M
SE,Data Engineer,100,81500,M
SE,Machine Learning Engineer,0,323300,M
SE,Machine Learning Engineer,0,184700,M
MI,AI Scientist,0,30000,S
SE,Machine Learning Engineer,100,186000,M
SE,Machine Learning Engineer,100,153088,M
MI,Data Infrastructure Engineer,100,190000,M
MI,Data Infrastructure Engineer,100,160000,M
SE,Machine Learning Engineer,100,200000,M
SE,Machine Learning Engineer,100,150000,M
MI,Data Infrastructure Engineer,0,190000,M
MI,Data Infrastructure Engineer,0,183310,M
SE,Machine Learning Engineer,100,240000,M
SE,Machine Learning Engineer,100,180000,M
SE,Machine Learning Engineer,100,200000,M
SE,Machine Learning Engineer,100,150000,M
SE,Data Science Manager,0,299500,M
SE,Data Science Manager,0,245100,M
SE,Data Engineer,100,144000,M
SE,Data Engineer,100,66000,M
MI,Machine Learning Engineer,0,148500,M
MI,Machine Learning Engineer,0,126277,M
SE,Data Architect,0,228000,M
SE,Data Architect,0,120000,M
SE,Machine Learning Software Engineer,0,180000,M
SE,Machine Learning Software Engineer,0,90000,M
SE,Data Scientist,0,126500,M
SE,Data Scientist,0,78000,M
SE,Data Engineer,0,180000,M
SE,Data Engineer,0,160000,M
SE,Machine Learning Software Engineer,0,272000,M
SE,Machine Learning Software Engineer,0,170000,M
MI,Data Analyst,0,80000,M
MI,Data Analyst,0,60000,M
SE,Data Engineer,100,259000,M
SE,Data Engineer,100,146000,M
SE,Data Engineer,0,200000,M
SE,Data Engineer,0,160000,M
EX,Data Engineer,100,310000,M
EX,Data Engineer,100,239000,M
SE,Data Analyst,100,142000,M
SE,Data Analyst,100,95000,M
SE,Data Scientist,0,155000,M
SE,Data Scientist,0,139500,M
MI,Data Engineer,100,140000,M
MI,Data Engineer,100,120000,M
SE,Data Engineer,100,259000,M
SE,Data Engineer,100,146000,M
MI,Data Analyst,0,109371,M
MI,Data Analyst,0,72914,M
EN,Data Analyst,100,17779,L
EN,Data Scientist,100,19522,L
SE,Data Science Lead,0,247500,M
SE,Data Science Lead,0,172200,M
SE,Data Scientist,0,225000,M
SE,Data Scientist,0,156400,M
SE,Data Engineer,0,139500,M
SE,Data Engineer,0,109400,M
MI,Data Engineer,0,125000,M
MI,Data Engineer,0,90000,M
SE,Machine Learning Infrastructure Engineer,100,107309,M
SE,Machine Learning Infrastructure Engineer,100,75116,M
SE,Data Scientist,0,185900,M
SE,Data Scientist,0,129300,M
SE,Machine Learning Engineer,0,139500,M
SE,Machine Learning Engineer,0,109400,M
SE,Data Analyst,100,120000,M
SE,Data Analyst,100,75000,M
SE,Data Analyst,0,169000,M
SE,Data Analyst,0,110600,M
SE,Machine Learning Engineer,100,288000,M
SE,Machine Learning Engineer,100,140000,M
SE,Machine Learning Engineer,100,288000,M
SE,Machine Learning Engineer,100,140000,M
MI,Data Engineer,0,120000,M
MI,Data Engineer,0,90000,M
MI,Data Science Lead,0,72914,M
MI,Data Science Lead,0,60761,M
SE,Data Scientist,100,215050,M
SE,Data Scientist,100,156400,M
SE,Data Architect,100,198000,M
SE,Data Architect,100,114000,M
EN,Data Analyst,100,75000,M
EN,Data Analyst,100,60000,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
SE,Data Scientist,100,209300,M
SE,Data Scientist,100,182200,M
SE,Data Manager,0,140000,M
SE,Data Manager,0,120000,M
EN,Data Scientist,0,85000,M
MI,Machine Learning Engineer,100,48609,M
EN,Research Engineer,100,120000,M
EN,Research Engineer,100,60000,M
SE,Machine Learning Engineer,0,147100,M
SE,Machine Learning Engineer,0,90700,M
SE,Data Engineer,0,230000,M
SE,Data Engineer,0,170000,M
SE,Data Analyst,0,227000,M
SE,Data Analyst,0,108000,M
SE,Data Engineer,100,180000,M
SE,Data Engineer,100,160000,M
SE,Data Architect,100,180000,M
SE,Data Architect,100,160000,M
SE,Data Engineer,0,180000,M
SE,Data Engineer,0,130000,M
SE,Data Analyst,100,55800,M
SE,Data Analyst,100,51508,M
EN,Data Analyst,100,60000,L
EN,Data Analyst,50,50000,L
SE,Data Engineer,0,226700,M
SE,Data Engineer,0,133300,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Big Data Architect,100,151902,L
EN,Data Scientist,0,9727,L
SE,Data Analyst,0,80000,M
SE,Data Analyst,0,52500,M
SE,Data Engineer,100,250000,M
SE,Data Engineer,100,162500,M
EN,Data Analyst,100,85000,M
EN,Data Analyst,100,75000,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,106800,M
MI,Data Analyst,0,165000,M
MI,Data Analyst,0,124000,M
SE,Data Analyst,100,115934,M
SE,Data Analyst,100,81666,M
SE,Data Engineer,0,167580,M
SE,Data Engineer,0,87980,M
SE,Data Engineer,100,250000,M
SE,Data Engineer,100,63000,M
SE,Research Scientist,0,253750,M
SE,Research Scientist,0,169200,M
SE,Research Scientist,0,253750,M
SE,Research Scientist,0,169200,M
MI,Data Scientist,0,170000,M
MI,Data Scientist,0,120000,M
SE,Data Engineer,0,124740,M
SE,Data Engineer,0,65488,M
SE,Data Engineer,100,213580,M
SE,Data Engineer,100,163625,M
EN,Data Engineer,0,12000,L
SE,Machine Learning Software Engineer,100,375000,M
SE,Data Engineer,100,101943,M
MI,Product Data Analyst,100,16414,L
SE,Machine Learning Engineer,0,220000,M
SE,Machine Learning Engineer,0,170000,M
EX,Data Engineer,0,235000,M
EX,Data Engineer,0,210000,M
SE,Data Architect,100,180000,M
SE,Data Architect,100,115000,M
SE,Data Architect,100,200000,M
SE,Data Architect,100,115000,M
SE,Data Science Manager,100,231250,M
SE,Data Science Manager,100,138750,M
SE,Machine Learning Engineer,0,284310,M
SE,Machine Learning Engineer,0,153090,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,75000,M
MI,Data Analyst,0,125000,M
MI,Data Analyst,0,105000,M
MI,Data Analyst,0,109371,M
MI,Data Analyst,0,85066,M
EN,Data Analyst,0,55000,M
EN,Data Analyst,0,48000,M
EN,Data Analyst,50,100000,M
SE,Data Science Lead,0,225900,M
SE,Data Science Lead,0,156400,M
SE,Data Engineer,100,250000,M
SE,Data Engineer,100,162500,M
SE,Machine Learning Engineer,100,318300,M
SE,Machine Learning Engineer,100,188800,M
SE,Data Analyst,0,385000,M
SE,Data Analyst,0,60000,M
MI,Data Analyst,100,110000,M
MI,Data Analyst,100,95000,M
SE,Data Scientist,100,145000,M
SE,Data Scientist,100,135000,M
SE,Data Analyst,0,180180,M
SE,Data Analyst,0,106020,M
SE,Data Analyst,100,93919,M
SE,Data Analyst,100,51962,M
SE,Data Engineer,0,241871,M
SE,Data Engineer,0,133832,M
SE,Data Scientist,100,170000,M
SE,Data Scientist,100,90000,M
EX,Data Engineer,100,210914,M
EX,Data Engineer,100,116704,M
SE,Data Analyst,100,192500,M
SE,Data Analyst,100,140000,M
SE,Data Scientist,0,149076,M
SE,Data Scientist,0,82365,M
MI,Machine Learning Engineer,100,36000,S
SE,Data Scientist,0,175000,M
SE,Data Scientist,0,148750,M
SE,Research Scientist,0,370000,M
SE,Research Scientist,0,200000,M
SE,Data Scientist,100,235000,M
SE,Data Scientist,100,185000,M
MI,Machine Learning Engineer,0,121523,M
MI,Machine Learning Engineer,0,97218,M
SE,Data Scientist,0,216100,M
SE,Data Scientist,0,140800,M
MI,Machine Learning Engineer,0,145828,M
MI,Machine Learning Engineer,0,121523,M
SE,Computer Vision Software Engineer,100,53654,L
EN,Data Scientist,50,110000,S
SE,Data Engineer,0,128000,M
SE,Data Engineer,0,81500,M
MI,Data Engineer,100,66837,M
MI,Data Engineer,100,63192,M
MI,Data Analyst,0,60761,M
MI,Data Analyst,0,54685,M
EX,Data Engineer,100,284000,M
EX,Data Engineer,100,236000,M
SE,Research Scientist,0,248100,M
SE,Research Scientist,0,145900,M
SE,Research Engineer,0,155850,M
SE,Research Engineer,0,102544,M
MI,Data Scientist,100,151410,M
MI,Data Scientist,100,115360,M
MI,Data Engineer,100,66531,M
MI,Data Engineer,100,59020,M
SE,Director of Data Science,50,125686,M
SE,Azure Data Engineer,50,100000,L
EN,Data Scientist,50,12767,L
SE,Data Scientist,0,250000,M
SE,Data Scientist,0,162500,M
SE,Data Scientist,0,185000,M
SE,Data Scientist,0,120250,M
EN,Data Engineer,100,26827,L
EN,Data Scientist,100,180000,M
MI,Research Scientist,0,85000,M
MI,Research Scientist,0,70000,M
SE,BI Developer,100,135000,M
SE,BI Developer,100,100000,M
EX,Data Analytics Manager,0,155000,M
EX,Data Analytics Manager,0,140000,M
SE,Machine Learning Engineer,0,204500,M
SE,Machine Learning Engineer,0,142200,M
SE,Data Engineer,0,226700,M
SE,Data Engineer,0,133300,M
SE,Data Scientist,100,225000,M
SE,Data Scientist,100,156400,M
SE,Data Engineer,0,163800,M
SE,Data Engineer,0,126000,M
SE,Machine Learning Engineer,0,163800,M
SE,Machine Learning Engineer,0,126000,M
SE,ML Engineer,0,220000,M
SE,ML Engineer,0,150000,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,115000,M
SE,Data Analytics Manager,0,204500,M
SE,Data Analytics Manager,0,138900,M
MI,Data Engineer,0,162500,M
MI,Data Engineer,0,130000,M
SE,Data Engineer,100,150000,M
SE,Data Engineer,100,107000,M
EX,Data Engineer,0,175000,M
EX,Data Engineer,0,110000,M
SE,Data Engineer,0,226700,M
SE,Data Engineer,0,133300,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Machine Learning Engineer,0,150000,M
SE,Machine Learning Engineer,0,125000,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Data Scientist,0,225000,M
SE,Data Scientist,0,156400,M
MI,Research Scientist,100,23000,L
MI,Machine Learning Engineer,100,110000,L
SE,Data Engineer,100,265000,M
SE,Data Engineer,100,182750,M
MI,Data Analyst,0,130000,M
MI,Data Analyst,0,100000,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,106800,M
SE,Data Engineer,0,137500,M
SE,Data Engineer,0,81500,M
EX,Head of Data Science,0,314100,M
EX,Head of Data Science,0,195800,M
SE,Applied Scientist,0,205000,M
SE,Applied Scientist,0,180000,M
SE,Data Scientist,100,165000,M
SE,Data Scientist,100,144000,M
EN,BI Developer,0,160000,M
EN,BI Developer,0,100000,M
EX,Data Engineer,0,200000,M
EX,Data Engineer,0,145000,M
MI,Data Analyst,0,150000,M
MI,Data Analyst,0,100000,M
SE,Data Manager,0,199000,M
SE,Data Manager,0,112000,M
SE,Data Scientist,0,105000,M
SE,Data Scientist,0,70000,M
EN,Big Data Engineer,100,130000,S
SE,Data Analyst,0,180180,M
SE,Data Analyst,0,106020,M
EN,Data Engineer,0,160000,M
EN,Data Engineer,0,135000,M
SE,Data Scientist,0,183000,M
SE,Data Scientist,0,134000,M
SE,Machine Learning Engineer,0,220000,M
SE,Machine Learning Engineer,0,150000,M
SE,Applied Scientist,0,350000,L
SE,Applied Scientist,0,262500,L
SE,Data Analyst,0,122000,M
SE,Data Analyst,0,94000,M
SE,Machine Learning Engineer,0,276000,M
SE,Machine Learning Engineer,0,184000,M
EX,Data Engineer,100,310000,M
EX,Data Engineer,100,239000,M
SE,Data Scientist,100,225000,M
SE,Data Scientist,100,156400,M
MI,Machine Learning Engineer,100,180000,M
MI,Machine Learning Engineer,100,150000,M
SE,Data Scientist,0,228000,M
SE,Data Scientist,0,152000,M
SE,Data Scientist,100,209450,M
SE,Data Scientist,100,158677,M
SE,Data Analyst,0,175000,M
SE,Data Analyst,0,145000,M
SE,Data Engineer,0,240000,M
SE,Data Engineer,0,170000,M
MI,Data Analyst,0,103200,M
MI,Data Analyst,0,61200,M
MI,Data Scientist,100,155000,L
EN,Marketing Data Engineer,50,66970,L
SE,Data Scientist,50,63312,L
SE,Data Scientist,100,237000,M
SE,Data Scientist,100,145000,M
SE,Data Scientist,100,240000,M
SE,Data Scientist,100,139000,M
SE,Data Architect,0,174500,M
SE,Data Architect,0,113000,M
SE,Data Analyst,100,130000,M
SE,Data Analyst,100,87000,M
SE,Data Analyst,100,160000,M
SE,Data Analyst,100,108000,M
SE,Data Engineer,100,165000,M
SE,Data Engineer,100,107250,M
SE,Data Engineer,0,300000,M
SE,Data Engineer,0,119000,M
SE,Data Scientist,100,285800,M
SE,Data Scientist,100,154600,M
MI,Head of Data Science,50,60795,L
EN,Data Analyst,100,30000,S
MI,Data Science Manager,0,220000,M
MI,Data Science Manager,0,195000,M
SE,Data Manager,0,168400,M
SE,Data Manager,0,105200,M
MI,Data Analyst,0,206000,M
MI,Data Analyst,0,160000,M
SE,Analytics Engineer,100,200000,M
SE,Analytics Engineer,100,175000,M
SE,Analytics Engineer,100,231250,M
SE,Analytics Engineer,100,138750,M
SE,Data Engineer,100,153000,M
SE,Data Engineer,100,94000,M
SE,Data Engineer,0,240500,L
SE,Data Engineer,0,123700,L
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,90000,M
EN,Data Scientist,0,124234,M
EN,Data Scientist,0,74540,M
MI,Data Analyst,0,109000,M
MI,Data Analyst,0,79000,M
SE,Machine Learning Engineer,50,84053,L
MI,Machine Learning Engineer,0,50000,S
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183500,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183500,M
SE,Data Analyst,100,160000,M
SE,Data Analyst,100,125600,M
SE,Data Engineer,0,170000,M
SE,Data Engineer,0,120000,M
SE,Data Engineer,0,225000,M
SE,Data Engineer,0,140000,M
SE,Data Analyst,0,141290,M
SE,Data Analyst,0,74178,M
SE,Data Scientist,0,150000,M
SE,Data Scientist,0,120000,M
SE,Data Engineer,100,85000,M
SE,Data Engineer,100,75000,M
SE,Data Engineer,0,220000,M
SE,Data Engineer,0,160000,M
SE,Data Engineer,100,205600,M
SE,Data Engineer,100,107500,M
MI,Data Engineer,0,120000,M
MI,Data Engineer,0,95000,M
SE,Data Engineer,0,185900,M
SE,Data Engineer,0,129300,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
EN,Data Scientist,50,12888,S
MI,Data Engineer,0,250000,M
MI,Data Engineer,0,175000,M
SE,Data Scientist,100,136000,M
SE,Data Scientist,100,104000,M
MI,Data Analyst,0,80000,M
MI,Data Analyst,0,52500,M
SE,Data Scientist,100,110000,M
SE,Data Scientist,100,84000,M
SE,BI Analyst,0,125000,M
SE,BI Analyst,0,110000,M
MI,Data Analyst,0,90000,M
MI,Data Analyst,0,80000,M
SE,ML Engineer,0,200000,M
SE,ML Engineer,0,135000,M
EN,Business Data Analyst,50,48000,L
EN,AI Developer,50,120000,S
SE,Data Engineer,0,130000,M
SE,Data Engineer,0,75000,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
MI,Data Analyst,0,150000,M
MI,Data Analyst,0,100000,M
SE,Data Engineer,0,226700,M
SE,Data Engineer,0,133300,M
SE,Data Scientist,0,190000,M
SE,Data Scientist,0,165000,M
SE,Data Engineer,100,170000,M
SE,Data Engineer,100,150000,M
MI,Data Engineer,0,150000,M
MI,Data Engineer,0,130000,M
SE,Data Scientist,0,225000,M
SE,Data Scientist,0,156400,M
SE,Computer Vision Engineer,100,200000,S
MI,Applied Data Scientist,100,80000,S
EN,Business Data Analyst,50,12877,L
EN,AI Developer,0,6304,S
MI,Data Analytics Lead,50,17509,M
SE,Data Scientist,0,257000,M
SE,Data Scientist,0,134000,M
SE,Data Scientist,0,77262,M
SE,Data Scientist,0,38631,M
SE,Data Engineer,0,205600,L
SE,Data Engineer,0,105700,L
SE,BI Developer,100,140000,M
SE,BI Developer,100,110000,M
SE,Data Science Manager,0,299500,M
SE,Data Science Manager,0,245100,M
SE,Research Scientist,0,210000,M
SE,Research Scientist,0,151800,M
MI,Data Scientist,50,53654,L
SE,Data Analyst,0,51508,M
SE,Data Analyst,0,40777,M
SE,Data Analyst,0,51508,M
SE,Data Analyst,0,40777,M
EN,Data Engineer,0,160000,M
EN,Data Engineer,0,135000,M
MI,Data Engineer,100,120000,M
MI,Data Engineer,100,95000,M
SE,Data Engineer,100,250000,M
SE,Data Engineer,100,63000,M
SE,Data Scientist,100,237000,M
SE,Data Scientist,100,145000,M
SE,Data Scientist,100,130000,M
SE,Data Scientist,100,90000,M
MI,Data Analyst,100,120000,M
MI,Data Analyst,100,100000,M
SE,Data Architect,0,174500,M
